"stock","MortType","CatchYear","AABM Fishery_SEAK_All","AABM Fishery_NBC_T","AABM Fishery_NBC_S","AABM Fishery_WCVI_FW","AABM Fishery_WCVI_SPR T","AABM Fishery_WCVI_SUM T","AABM Fishery_WCVI_AABM S","ISBM Fishery_NBC & CBC_Central T","ISBM Fishery_NBC & CBC_North N","ISBM Fishery_NBC & CBC_TNBC Term N","ISBM Fishery_NBC & CBC_Central N","ISBM Fishery_NBC & CBC_TCBC Term N","ISBM Fishery_NBC & CBC_CBC S","ISBM Fishery_NBC & CBC_ TCBC TERM S","ISBM Fishery_NBC & CBC_NBC ISBM S","ISBM Fishery_NBC & CBC_TNBC TERM S","ISBM Fishery_Southern BC_GEO ST T","ISBM Fishery_Southern BC_WCVI N","ISBM Fishery_Southern BC_GEO ST N","ISBM Fishery_Southern BC_JNST N","ISBM Fishery_Southern BC_BC JF N","ISBM Fishery_Southern BC_FRASER N","ISBM Fishery_Southern BC_ TFRASER TERM N","ISBM Fishery_Southern BC_GEO ST S","ISBM Fishery_Southern BC_TGEO ST TERM S","ISBM Fishery_Southern BC_JNST S","ISBM Fishery_Southern BC_TJNST TERM S","ISBM Fishery_Southern BC_BC JF S","ISBM Fishery_Southern BC_TBC JF TERM S","ISBM Fishery_Southern BC_WCVI ISBM S","ISBM Fishery_US_T","Terminal Fishery_SEAK_All","Terminal Fishery_Canada_TNORTH FN","Terminal Fishery_Canada_TCENTRAL FN","Terminal Fishery_Canada_TGEO ST FN","Terminal Fishery_Canada_TFRAS FN","Terminal Fishery_Canada_CAN TBR TERM FN","Terminal Fishery_Canada_TWCVI TERM N","Terminal Fishery_Canada_TNORTH FS","Terminal Fishery_Canada_TCENTRAL FS","Terminal Fishery_Canada_TWCVI FS","Terminal Fishery_Canada_TFRASER FS","Terminal Fishery_Canada_TGS FS","Terminal Fishery_Canada_TWCVI TERM S","Terminal Fishery_Southern US_All","Escapement_    _Stray","Esc.",
"ATN","TM",1981,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"ATN","TM",1982,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"ATN","TM",1983,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"ATN","TM",1984,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"ATN","TM",1985,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"ATN","TM",1986,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"ATN","TM",1987,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"ATN","TM",1988,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"ATN","TM",1989,58.3333333333333,16.6666666666667,2.77777777777778,0,0,0,0,0,0,0,0,22.2222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"ATN","TM",1990,24.1379310344828,2.06896551724138,0.689655172413793,0,0,0.689655172413793,0,4.82758620689655,0,0,0,14.4827586206897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75862068965517,0,0,0,0,0,0,0,0,0,0,0,0,50.3448275862069,
"ATN","TM",1991,6.71736375158428,1.26742712294043,1.14068441064639,0,0,0.380228136882129,0,0.380228136882129,0.253485424588086,0,0,20.1520912547529,0.633713561470215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16856780735108,0,0,0,0,0,3.42205323193916,0,0,0,0,0,0,62.4841571609633,
"ATN","TM",1992,9.95934959349593,1.82926829268293,1.82926829268293,0,0,0.304878048780488,0,5.28455284552846,0,0,0,17.9878048780488,1.01626016260163,0.40650406504065,0.40650406504065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203252032520325,0,0,3.65853658536585,0,0,0,0,0,1.82926829268293,0,0,0,0,0,0,55.2845528455285,
"ATN","TM",1993,11.5183246073298,4.56245325355273,2.09424083769634,0,0,0.448765893792072,0,1.19670905011219,0.149588631264024,0,0,12.715033657442,1.12191473448018,0.448765893792072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16903515332835,0,0,0,0,0,2.16903515332835,0,0,0,0,0,0,61.4061331338818,
"ATN","TM",1994,7.981220657277,1.52582159624413,1.81924882629108,0,0,0,0,2.58215962441315,0.117370892018779,0,0,18.075117370892,0.586854460093897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2887323943662,0,0,0,0,0,0.997652582159624,0,0,0,0,0,0,64.0258215962441,
"ATN","TM",1995,5.74614065180103,1.11492281303602,2.78730703259005,0,0,0,0,0.343053173241852,0.257289879931389,0,0,15.0514579759863,0.514579759862779,0,0.0857632933104631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18867924528302,0,0,0,0,0,3.43053173241853,0,0,0,0,0,0,65.4802744425386,
"ATN","TM",1996,3.18225650916104,0.241080038572806,0.578592092574735,0,0,0,0,0,0,0,0,11.0414657666345,1.06075216972035,0,0.144648023143684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.30376084860174,0,0,0,0,0,5.68948891031823,0,0,0,0,0,0,72.7579556412729,
"ATN","TM",1997,5.95446584938704,0.175131348511384,3.1523642732049,0,0,0,0,0.437828371278459,0.963222416812609,0,0,8.4938704028021,0.350262697022767,0,0.350262697022767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.40630472854641,0,0,0,0,0,4.46584938704028,0,0,0,0,0,0,67.2504378283713,
"ATN","TM",1998,7.65639589169001,0,4.85527544351074,0,0,0,0,0,0,0,0,12.9785247432306,0.746965452847806,0,0.373482726423903,0,0,0,0,0,0,0,0,0,0,0.186741363211951,0,0,0,0,0,0,0,10.1774042950514,0,0,0,0,0,3.36134453781513,0,0,0,0,0,0,59.6638655462185,
"ATN","TM",1999,8.28690807799443,0,2.99442896935933,0,0,0,0,0,0,0,0,7.10306406685237,0.905292479108635,0.139275766016713,0.278551532033426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20891364902507,0,0,4.38718662952646,0,0,0,0,0,3.6908077994429,0,0,0,0,0,0,72.0055710306407,
"ATN","TM",2000,6.49474689589303,0,3.53390639923591,0,0,0,0,0,0,0,0,6.97230181470869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.64087870105062,0,0,0,0,0,4.10697230181471,0,0,0,0,0,0,71.251193887297,
